event_name,user_id,session_id,occurred_at,cohort,device,country,duration_ms
page_view,u_1161,3e8ea104-2e8d-4bd3-8173-377c64b57cf2,2026-05-11T18:14:54.954Z,cohort_B,mobile,FR,
task_create_click,u_1161,3e8ea104-2e8d-4bd3-8173-377c64b57cf2,2026-05-11T18:14:58.587Z,cohort_B,mobile,FR,
page_view,u_1361,347c0f99-1d2b-43f4-b642-7bd0bb32d805,2026-04-29T08:30:53.112Z,cohort_A,desktop,FR,
task_create_click,u_1361,347c0f99-1d2b-43f4-b642-7bd0bb32d805,2026-04-29T08:30:57.537Z,cohort_A,desktop,FR,
page_view,u_1912,8e6f9a77-4473-4ad9-960d-7a004aa9d60a,2026-04-24T19:07:38.804Z,cohort_A,mobile,FR,
page_view,u_1116,888a215d-43af-433d-98a8-c3937827c956,2026-04-25T05:22:27.728Z,cohort_A,mobile,FR,
page_view,u_594,59139e73-536a-457b-86b4-675c773259cd,2026-05-18T14:15:19.551Z,cohort_B,desktop,US,
task_create_click,u_594,59139e73-536a-457b-86b4-675c773259cd,2026-05-18T14:15:23.466Z,cohort_B,desktop,US,
page_view,u_1631,5f62d40c-687b-4561-bcd2-39df653cdbd1,2026-04-29T10:56:01.932Z,cohort_A,mobile,FR,
task_create_click,u_1631,5f62d40c-687b-4561-bcd2-39df653cdbd1,2026-04-29T10:56:04.107Z,cohort_A,mobile,FR,
task_form_submit,u_1631,5f62d40c-687b-4561-bcd2-39df653cdbd1,2026-04-29T10:56:11.618Z,cohort_A,mobile,FR,
page_view,u_26,3c6bd2a5-09be-472f-bdae-c8b0a9135923,2026-05-09T17:56:03.070Z,cohort_B,mobile,FR,
task_create_click,u_26,3c6bd2a5-09be-472f-bdae-c8b0a9135923,2026-05-09T17:56:07.149Z,cohort_B,mobile,FR,
task_form_submit,u_26,3c6bd2a5-09be-472f-bdae-c8b0a9135923,2026-05-09T17:56:09.512Z,cohort_B,mobile,FR,
page_view,u_2,e819fb6f-08c7-42f5-9082-76939c1801c4,2026-04-20T15:30:51.376Z,cohort_B,mobile,CA,
task_create_click,u_2,e819fb6f-08c7-42f5-9082-76939c1801c4,2026-04-20T15:30:54.852Z,cohort_B,mobile,CA,
task_form_submit,u_2,e819fb6f-08c7-42f5-9082-76939c1801c4,2026-04-20T15:30:58.160Z,cohort_B,mobile,CA,
task_toggle,u_2,e819fb6f-08c7-42f5-9082-76939c1801c4,2026-04-20T15:30:59.899Z,cohort_B,mobile,CA,1518
page_view,u_1971,c417c90d-e928-408e-b86d-5f367b3f187b,2026-05-17T02:48:26.931Z,cohort_B,mobile,FR,
task_create_click,u_1971,c417c90d-e928-408e-b86d-5f367b3f187b,2026-05-17T02:48:30.596Z,cohort_B,mobile,FR,
page_view,u_847,11012164-4ad4-48d3-a772-6e39719d1cc4,2026-04-24T01:14:33.808Z,cohort_A,desktop,BE,
task_create_click,u_847,11012164-4ad4-48d3-a772-6e39719d1cc4,2026-04-24T01:14:36.727Z,cohort_A,desktop,BE,
task_form_submit,u_847,11012164-4ad4-48d3-a772-6e39719d1cc4,2026-04-24T01:14:37.828Z,cohort_A,desktop,BE,
page_view,u_1602,1cc7f23e-eb67-43e1-b4cd-7daa521fa908,2026-04-26T10:20:04.710Z,cohort_A,desktop,CA,
task_create_click,u_1602,1cc7f23e-eb67-43e1-b4cd-7daa521fa908,2026-04-26T10:20:06.761Z,cohort_A,desktop,CA,
task_form_submit,u_1602,1cc7f23e-eb67-43e1-b4cd-7daa521fa908,2026-04-26T10:20:14.360Z,cohort_A,desktop,CA,
